"id","session_id","category","category_tag","turn","role","text","handover","links","dead_links","timestamp","run_id","endpoint"
"2840","2640bc8d-1f01-4cd9-ac49-e7cf0b14d47f","Etablering","","1","bot","<p>Her er hvad der typisk sker ved fiber etablering:</p><ul><li>Først kommer en entreprenør og fører fiberen frem til din bolig.</li><li>Derefter installerer en tekniker fiberboksen inde i din bolig – der skal være en myndig person hjemme under besøget.</li><li>Når installationen er færdig, kan du tilslutte din router og tage internettet i brug.</li></ul><p>Jeg har desværre ikke adgang til den konkrete status på din installation. Hvis du vil vide mere, kan du finde kontaktinfo og åbningstider på <a href=""https://www.hiper.dk/kontakt"">hiper.dk/kontakt</a> ✅</p><p>Giv lyd hvis der er noget, du vil have uddybet </p>","0","[""https://www.hiper.dk/kontakt""]","[]","2026-03-06 22:41:17","384fdc92-d594-4458-b6e2-86b13fd0fecb","gpt41"
"2839","2640bc8d-1f01-4cd9-ac49-e7cf0b14d47f","Etablering","","1","user","Hejsa jeg ønsker status på min fiber etablering","0","[]","[]","2026-03-06 22:41:17","384fdc92-d594-4458-b6e2-86b13fd0fecb","gpt41"
"2850","2640bc8d-1f01-4cd9-ac49-e7cf0b14d47f","Etablering","","2","bot","<p>Leveringstiden for fiber afhænger af, hvad der allerede er installeret på adressen:</p><ul><li>Hvis der er fiber og fiberboks: ca. 7 dage</li><li>Hvis der er fiber, men ikke fiberboks: ca. 30 dage</li><li>Hvis der slet ikke er fiber: ca. 2 måneder</li></ul><p>Tidsforløbet kan variere alt efter installationstype og teknikernes kalender. Jeg har desværre ikke adgang til din konkrete status, så jeg kan ikke sige præcis hvornår du hører mere. Hvis du ønsker en statusopdatering, kan du se kontaktmuligheder og åbningstider på <a href=""https://www.hiper.dk/kontakt"">hiper.dk/kontakt</a> 🫱</p><p>Giv lyd hvis du har flere spørgsmål </p>","0","[""https://www.hiper.dk/kontakt""]","[]","2026-03-06 22:41:31","384fdc92-d594-4458-b6e2-86b13fd0fecb","gpt41"
"2849","2640bc8d-1f01-4cd9-ac49-e7cf0b14d47f","Etablering","","2","user","Okay men hvornår hører jeg noget? Jeg har ventet i 2 uger allerede","0","[]","[]","2026-03-06 22:41:31","384fdc92-d594-4458-b6e2-86b13fd0fecb","gpt41"
"2862","2640bc8d-1f01-4cd9-ac49-e7cf0b14d47f","Etablering","","3","bot","<p>Der findes desværre ikke en selvbetjent statusoversigt for fiberetablering. Hvis du vil have en opdatering, skal du tage fat i os direkte. Du kan finde muligheder og åbningstider på <a href=""https://www.hiper.dk/kontakt"">hiper.dk/kontakt</a> 🫱</p><p>Sig til hvis du har andre spørgsmål 🙌</p>","0","[""https://www.hiper.dk/kontakt""]","[]","2026-03-06 22:41:45","384fdc92-d594-4458-b6e2-86b13fd0fecb","gpt41"
"2861","2640bc8d-1f01-4cd9-ac49-e7cf0b14d47f","Etablering","","3","user","Er der et sted jeg selv kan se status, uden at kontakte jer?","0","[]","[]","2026-03-06 22:41:45","384fdc92-d594-4458-b6e2-86b13fd0fecb","gpt41"
"2878","2640bc8d-1f01-4cd9-ac49-e7cf0b14d47f","Etablering","","4","bot","<p>Underleverandøren til fiberinstallationen vælges ud fra infrastrukturen i dit område, og det er typisk en entreprenør, der udfører arbejdet for Hiper. Vidensartiklerne nævner dog ikke navnet på underleverandøren, og du kan ikke kontakte dem direkte.</p><p>Hvis du vil vide mere om din fiberinstallation, kan du tjekke muligheder og åbningstider på <a href=""https://www.hiper.dk/kontakt"">hiper.dk/kontakt</a> ✅</p><p>Giv lyd hvis du har flere spørgsmål </p>","0","[""https://www.hiper.dk/kontakt""]","[]","2026-03-06 22:41:59","384fdc92-d594-4458-b6e2-86b13fd0fecb","gpt41"
"2877","2640bc8d-1f01-4cd9-ac49-e7cf0b14d47f","Etablering","","4","user","Hvem er underleverandøren i mit område, og kan jeg kontakte dem direkte?","0","[]","[]","2026-03-06 22:41:59","384fdc92-d594-4458-b6e2-86b13fd0fecb","gpt41"
"2832","6b570162-014f-4dd3-b150-82ce38d89bd9","Etablering","","1","bot","<p>Det kommer helt an på om installationen i din bolig allerede er klar. Hvis det er tilfældet, kan du ofte tage internettet i brug hurtigt – altså uden ventetid på teknikerbesøg. Hvis der skal komme en tekniker eller entreprenør først, kan det tage længere tid før du kommer online 😊</p>
<p>Du kan i <a href=""https://www.hiper.dk/mit-hiper/"">Mit Hiper</a> under ""Overblik"" se status på din installation og om teknikerbesøg er nødvendigt.</p>
<p>Giv lyd hvis du har flere spørgsmål </p>","0","[""https://www.hiper.dk/mit-hiper/""]","[]","2026-03-06 22:41:07","384fdc92-d594-4458-b6e2-86b13fd0fecb","gpt41"
"2831","6b570162-014f-4dd3-b150-82ce38d89bd9","Etablering","","1","user","kan vi få internet hurtigere hvis det er uden teknikerbesøg?","0","[]","[]","2026-03-06 22:41:07","384fdc92-d594-4458-b6e2-86b13fd0fecb","gpt41"
